id,label,start,end,text,doc_id
4998,c: inwerking treden van Woo,705,715,1 mei 2022,262
4999,DATE+,855,862,22-0359,262
5000,DATE+,1014,1021,22-0359,262
5001,DATE+,1228,1235,22-0359,262
5002,DATE+,1321,1337,16 februari 2011,262
5003,DATE+,1692,1707,2 februari 2022,262
5004,DATE+,2142,2149,22-0359,262
5005,DATE+,2267,2274,22-0359,262
5006,DATE+,2428,2440,1 april 2008,262
5007,DATE+,2586,2593,22-0359,262
5008,DATE+,2894,2901,22-0359,262
5279,ID,9,12,262,262
5280,title,25,67,besluit_Woo-verzoek_ongeval_trampoline.pdf,262
5281,event,100,112,Verzonden op,262
5282,event,210,316,heeft u de Nederlandse Voedsel en Warenautoriteit (hierna: NVWA) gevraagd om het rapport openbaar te maken,262
5283,event,405,472,heeft u bericht ontvangen dat uw verzoek in goede orde is ontvangen,262
5284,event,492,569,heb ik aangegeven dat de beoordeling van uw verzoek meer tijd in beslag neemt,262
5287,event,614,627,contact gehad,262
5288,event,574,598,Over dit verzoek heeft u,262
5289,event,716,776,is echter de Woo inwerking getreden en is de Wob ingetrokken,262
5009,c: besluit datum,131,142,8 juli 2022,271
5010,c: verzoek datum,164,176,5 april 2022,271
5011,c: verzoek ontvangen,200,212,6 april 2022,271
5012,c: overig,377,389,2 maart 2022,271
5013,c: ontvangst verzoek bevestigd,583,593,4 mei 2022,271
5014,c: overig,601,613,16 juni 2022,271
5015,c: inwerking treden van Woo,727,737,1 mei 2022,271
5016,c: inwerking treden van Woo,830,835,1 mei,271
5017,DATE+,872,885,10 maart 2022,271
5018,DATE+,994,1002,28/02/22,271
5019,DATE+,1158,1164,morgen,271
5020,DATE+,1374,1382,28/02/22,271
5021,DATE+,1675,1683,28/02/22,271
5022,DATE+,1754,1762,27/02/22,271
5023,DATE+,2214,2222,28/02/22,271
5024,DATE+,2335,2343,01/03/22,271
5025,DATE+,2363,2367,28/2,271
5026,DATE+,2432,2439,2 maart,271
5027,DATE+,2465,2469,2022,271
5290,ID,9,12,271,271
5291,title,25,99,Besluit_Woo_verzoek_toegang_Russische_nieuwsbronnen_edited___sanitized.pdf,271
5292,event,125,130,Datum,271
5293,event,187,196,ontvangen,271
5294,event,214,300,met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) om informatie verzocht,271
5297,event,524,579,ontvangst van uw verzoek is per e-mailbericht bevestigd,271
5298,event,614,716,heeft u mij in gebreke gesteld nu u nog geen besluit heeft ontvangen en de beslistermijn is verstreken,271
5299,event,738,769,is de Wob vervangen door de Woo,271
5300,event,839,848,Woo geldt,271
7797,event,339,373,verordening die de Raad van Europa,271
7798,event,390,401,publiceerde,271
8270,event,155,160,heeft,271
5028,c: besluit datum,126,137,13 mei 2022,267
5029,c: verzoek datum,241,256,1 februari 2022,267
5030,DATE+,428,432,2003,267
5031,DATE+,444,448,2022,267
5032,DATE+,652,660,mei 2003,267
5033,DATE+,672,676,2022,267
5034,c: ontvangst verzoek bevestigd,813,828,2 februari 2022,267
5035,c: inwerking treden van Woo,852,862,1 mei 2022,267
5036,DATE+,977,988,13 mei 2022,267
5037,DATE+,1104,1115,13 mei 2022,267
5038,DATE+,1180,1191,13 mei 2022,267
5039,DATE+,1305,1316,13 mei 2022,267
5040,DATE+,1406,1417,13 mei 2022,267
5041,DATE+,1814,1825,13 mei 2022,267
5042,DATE+,2584,2595,13 mei 2022,267
5043,DATE+,2989,3000,13 mei 2022,267
5044,DATE+,3133,3144,13 mei 2022,267
5045,DATE+,3350,3356,9 9551,267
5046,DATE+,3397,3405,1-jan-03,267
5047,DATE+,3415,3427,165 1-feb-03,267
5048,DATE+,3573,3581,1-sep-03,267
5049,DATE+,3683,3691,1-feb-04,267
5050,DATE+,3793,3801,1-jul-04,267
5051,DATE+,3811,3823,200 1-aug-04,267
5052,DATE+,4075,4087,208 1-aug-05,267
5053,DATE+,4298,4306,1-jun-06,267
5054,DATE+,4426,4438,203 1-dec-06,267
5055,DATE+,4778,4790,215 1-apr-08,267
5056,DATE+,4954,4966,230 1-dec-08,267
5057,DATE+,5437,5449,229 1-okt-10,267
5058,DATE+,5947,5955,1-sep-12,267
5059,DATE+,6075,6087,215 1-mrt-13,267
5060,DATE+,6294,6306,225 1-jan-14,267
5061,DATE+,6822,6834,251 1-jan-16,267
5062,DATE+,6958,6966,1-jul-16,267
5063,DATE+,6976,6988,227 1-aug-16,267
5064,DATE+,7046,7054,1-nov-16,267
5065,DATE+,7068,7076,1-dec-16,267
5066,DATE+,7152,7164,227 1-apr-17,267
5067,DATE+,7349,7361,221 1-jan-18,267
5068,DATE+,7599,7607,1-apr-21,267
5069,DATE+,7616,7624,1-mei-21,267
5070,DATE+,7684,7692,1-sep-21,267
5071,DATE+,7735,7743,1-dec-21,267
5072,DATE+,7980,7986,9 9551,267
5073,DATE+,8030,8034,2003,267
5074,DATE+,8079,8083,2003,267
5075,DATE+,8130,8134,2003,267
5076,DATE+,8196,8200,2003,267
5077,DATE+,8231,8237,1 JAAR,267
5078,DATE+,8250,8254,2003,267
5079,DATE+,8285,8291,1 JAAR,267
5080,DATE+,8306,8310,2003,267
5081,DATE+,8339,8347,120 2003,267
5082,DATE+,8371,8379,207 2004,267
5083,DATE+,8424,8428,2004,267
5084,DATE+,8475,8479,2004,267
5085,DATE+,8541,8545,2004,267
5086,DATE+,8576,8582,1 JAAR,267
5087,DATE+,8595,8599,2004,267
5088,DATE+,8630,8636,1 JAAR,267
5089,DATE+,8651,8655,2004,267
5090,DATE+,8684,8692,121 2004,267
5091,DATE+,8716,8724,196 2005,267
5092,DATE+,8769,8773,2005,267
5093,DATE+,8820,8824,2005,267
5094,DATE+,8886,8890,2005,267
5095,DATE+,8921,8927,1 JAAR,267
5096,DATE+,8942,8946,2005,267
5097,DATE+,8979,8983,2005,267
5098,DATE+,9062,9066,2006,267
5099,DATE+,9128,9132,2006,267
5100,DATE+,9163,9169,1 JAAR,267
5101,DATE+,9182,9186,2006,267
5102,DATE+,9217,9223,1 JAAR,267
5103,DATE+,9238,9242,2006,267
5104,DATE+,9275,9279,2006,267
5105,DATE+,9333,9337,2006,267
5106,DATE+,9361,9369,220 2007,267
5107,DATE+,9427,9433,2 2007,267
5108,DATE+,9499,9505,1 2007,267
5109,DATE+,9545,9551,3 2007,267
5110,DATE+,9594,9600,1 2007,267
5111,DATE+,9647,9651,2007,267
5112,DATE+,9711,9718,13 2007,267
5113,DATE+,9749,9755,1 JAAR,267
5114,DATE+,9766,9772,2 2007,267
5115,DATE+,9803,9809,1 JAAR,267
5116,DATE+,9821,9828,28 2007,267
5117,DATE+,9857,9865,109 2007,267
5118,DATE+,9954,9960,2 2008,267
5119,DATE+,10026,10032,2 2008,267
5120,DATE+,10074,10078,2008,267
5121,DATE+,10123,10127,2008,267
5122,DATE+,10174,10178,2008,267
5123,DATE+,10240,10244,2008,267
5124,DATE+,10275,10281,1 JAAR,267
5125,DATE+,10294,10298,2008,267
5126,DATE+,10329,10335,1 JAAR,267
5127,DATE+,10350,10354,2008,267
5128,DATE+,10387,10391,2008,267
5129,DATE+,10445,10449,2008,267
5130,DATE+,10473,10481,218 2009,267
5131,DATE+,10539,10545,1 2009,267
5132,DATE+,10611,10617,1 2009,267
5133,DATE+,10659,10663,2009,267
5134,DATE+,10710,10714,2009,267
5135,DATE+,10776,10780,2009,267
5136,DATE+,10811,10817,1 JAAR,267
5137,DATE+,10830,10834,2009,267
5138,DATE+,10865,10871,1 JAAR,267
5139,DATE+,10886,10890,2009,267
5140,DATE+,10923,10927,2009,267
5141,DATE+,10981,10985,2009,267
5142,DATE+,11013,11017,2010,267
5143,DATE+,11075,11081,1 2010,267
5144,DATE+,11147,11153,1 2010,267
5145,DATE+,11207,11211,2010,267
5146,DATE+,11256,11260,2010,267
5147,DATE+,11307,11311,2010,267
5148,DATE+,11373,11377,2010,267
5149,DATE+,11408,11414,1 JAAR,267
5150,DATE+,11427,11431,2010,267
5151,DATE+,11462,11468,1 JAAR,267
5152,DATE+,11483,11487,2010,267
5153,DATE+,11520,11524,2010,267
5154,DATE+,11548,11556,226 2011,267
5155,DATE+,11594,11600,3 JAAR,267
5156,DATE+,11620,11626,1 2011,267
5157,DATE+,11692,11698,1 2011,267
5158,DATE+,11752,11756,2011,267
5159,DATE+,11801,11805,2011,267
5160,DATE+,11852,11856,2011,267
5161,DATE+,11918,11922,2011,267
5162,DATE+,11953,11959,1 JAAR,267
5163,DATE+,11972,11976,2011,267
5164,DATE+,12007,12013,1 JAAR,267
5165,DATE+,12028,12032,2011,267
5166,DATE+,12065,12069,2011,267
5167,DATE+,12093,12101,220 2012,267
5168,DATE+,12140,12146,3 JAAR,267
5169,DATE+,12166,12172,1 2012,267
5170,DATE+,12210,12216,3 JAAR,267
5171,DATE+,12236,12242,2 2012,267
5172,DATE+,12344,12348,2012,267
5173,DATE+,12395,12399,2012,267
5174,DATE+,12461,12465,2012,267
5175,DATE+,12496,12502,1 JAAR,267
5176,DATE+,12515,12519,2012,267
5177,DATE+,12550,12556,1 JAAR,267
5178,DATE+,12571,12575,2012,267
5179,DATE+,12636,12644,220 2013,267
5180,DATE+,12683,12689,3 JAAR,267
5181,DATE+,12709,12715,1 2013,267
5182,DATE+,12753,12759,3 JAAR,267
5183,DATE+,12779,12785,1 2013,267
5184,DATE+,12851,12857,1 2013,267
5185,DATE+,12923,12929,2 2013,267
5186,DATE+,12983,12987,2013,267
5187,DATE+,13030,13036,1 2013,267
5188,DATE+,13083,13087,2013,267
5189,DATE+,13118,13124,1 JAAR,267
5190,DATE+,13135,13141,1 2013,267
5191,DATE+,13172,13178,1 JAAR,267
5192,DATE+,13193,13197,2013,267
5193,DATE+,13230,13234,2013,267
5194,DATE+,13258,13266,216 2014,267
5195,DATE+,13332,13338,3 2014,267
5196,DATE+,13392,13396,2014,267
5197,DATE+,13443,13447,2014,267
5198,DATE+,13509,13513,2014,267
5199,DATE+,13544,13550,1 JAAR,267
5200,DATE+,13565,13569,2014,267
5201,DATE+,13602,13606,2014,267
5202,DATE+,13646,13650,2014,267
5203,DATE+,13674,13682,220 2015,267
5204,DATE+,13720,13726,3 JAAR,267
5205,DATE+,13746,13752,2 2015,267
5206,DATE+,13818,13824,1 2015,267
5207,DATE+,13878,13882,2015,267
5208,DATE+,13927,13931,2015,267
5209,DATE+,13978,13982,2015,267
5210,DATE+,14044,14048,2015,267
5211,DATE+,14079,14085,1 JAAR,267
5212,DATE+,14098,14102,2015,267
5213,DATE+,14133,14139,1 JAAR,267
5214,DATE+,14154,14158,2015,267
5215,DATE+,14191,14195,2015,267
5216,DATE+,14223,14227,2016,267
5217,DATE+,14265,14271,3 JAAR,267
5218,DATE+,14291,14297,2 2016,267
5219,DATE+,14363,14369,1 2016,267
5220,DATE+,14435,14441,1 2016,267
5221,DATE+,14495,14499,2016,267
5222,DATE+,14544,14548,2016,267
5223,DATE+,14595,14599,2016,267
5224,DATE+,14630,14636,1 JAAR,267
5225,DATE+,14649,14653,2016,267
5226,DATE+,14684,14690,1 JAAR,267
5227,DATE+,14737,14745,141 2016,267
5228,DATE+,14773,14777,2017,267
5229,DATE+,14815,14821,3 JAAR,267
5230,DATE+,14841,14847,1 2017,267
5231,DATE+,14913,14919,3 2017,267
5232,DATE+,14985,14991,1 2017,267
5233,DATE+,15045,15049,2017,267
5234,DATE+,15094,15098,2017,267
5235,DATE+,15145,15149,2017,267
5236,DATE+,15211,15215,2017,267
5237,DATE+,15246,15252,1 JAAR,267
5238,DATE+,15265,15269,2017,267
5239,DATE+,15300,15306,1 JAAR,267
5240,DATE+,15321,15325,2017,267
5241,DATE+,15358,15362,2017,267
5242,DATE+,15390,15394,2018,267
5243,DATE+,15460,15466,5 2018,267
5244,DATE+,15520,15524,2018,267
5245,DATE+,15569,15573,2018,267
5246,DATE+,15620,15624,2018,267
5247,DATE+,15686,15690,2018,267
5248,DATE+,15721,15727,1 JAAR,267
5249,DATE+,15740,15744,2018,267
5250,DATE+,15775,15781,1 JAAR,267
5251,DATE+,15796,15800,2018,267
5252,DATE+,15833,15837,2018,267
5253,DATE+,15865,15869,2019,267
5254,DATE+,15935,15941,2 2019,267
5255,DATE+,16007,16013,1 2019,267
5256,DATE+,16067,16071,2020,267
5257,DATE+,16137,16143,2 2020,267
5258,DATE+,16209,16215,1 2020,267
5259,DATE+,16344,16348,2021,267
5260,DATE+,16397,16401,2021,267
5261,DATE+,16463,16467,2021,267
5302,ID,9,12,267,267
5303,title,25,67,Besluit_Woo_2022-021_landbouwtellingen.pdf,267
5304,event,119,125,D atum,267
5305,event,257,353,"heeft u, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob), verzocht om informatie",267
5309,event,863,929,is de Wob ingetrokken en vervangen door de Wet open overheid (Woo),267
8265,event,748,808,ontvangst van uw verzoek is schriftelijk bevestigd bij brief,267
5310,c: besluit datum,220,233,29 april 2022,74
5311,c: verzoek ontvangen,262,279,15 september 2021,74
5312,c: verzoek datum,448,465,15 september 2021,74
5313,DATE+,640,653,29 april 2022,74
5314,DATE+,1328,1332,2001,74
5315,DATE+,1362,1366,2001,74
5316,DATE+,1476,1480,2001,74
5317,DATE+,1678,1682,2001,74
5318,DATE+,1823,1827,2001,74
5319,DATE+,2007,2011,2001,74
5320,DATE+,2369,2373,2001,74
5321,DATE+,2506,2516,11-03-1953,74
5322,DATE+,2577,2587,01-12-1954,74
5323,DATE+,2680,2686,17-12-,74
5324,DATE+,2687,2691,1997,74
5325,DATE+,2769,2775,22 739,74
5326,DATE+,2804,2814,06-06-1984,74
5327,DATE+,3039,3049,14-08-1985,74
5328,DATE+,3063,3071,1985/332,74
5329,DATE+,3086,3096,04-01-1989,74
5330,DATE+,3263,3273,20-09-1967,74
5331,DATE+,3275,3281,261/67,74
5332,DATE+,3425,3435,28-06-1989,74
5333,DATE+,3553,3563,18-04-1990,74
5334,DATE+,3774,3784,20-01-1989,74
5335,DATE+,3798,3806,1990/172,74
5336,DATE+,3963,3975,14 juni 1972,74
5337,DATE+,3991,4006,23 januari 1957,74
5338,DATE+,4026,4030,2001,74
5339,DATE+,4090,4105,9 december 2011,74
5340,DATE+,4429,4440,21 mei 1958,74
5341,DATE+,4594,4605,6 juni 1995,74
5342,DATE+,4804,4808,1941,74
5343,DATE+,5225,5229,2001,74
5344,DATE+,5481,5485,2001,74
5345,DATE+,5503,5519,12 november 1975,74
5346,DATE+,5576,5580,1964,74
5347,DATE+,5827,5831,2001,74
5348,DATE+,5967,5977,tien jaren,74
5349,DATE+,6381,6387,27 209,74
5350,DATE+,6609,6619,tien jaren,74
5351,DATE+,7008,7012,2005,74
5352,DATE+,7212,7216,2001,74
5353,DATE+,7225,7229,2008,74
5354,DATE+,7343,7358,9 december 2011,74
5355,DATE+,7564,7579,9 december 2011,74
5356,DATE+,7857,7872,9 december 2011,74
5357,DATE+,8098,8102,2001,74
5358,DATE+,8699,8703,2001,74
5359,DATE+,8866,8876,tien jaren,74
5360,DATE+,9276,9291,9 december 2011,74
5361,DATE+,9432,9448,5 september 1986,74
5362,DATE+,9469,9485,25 november 1998,74
5363,DATE+,9506,9522,19 december 2003,74
5364,DATE+,9681,9694,10 maart 2006,74
5365,DATE+,9772,9785,10 maart 2006,74
5366,DATE+,9843,9856,10 maart 2006,74
5367,DATE+,9945,9960,9 december 2011,74
5368,DATE+,10168,10172,2005,74
5369,DATE+,10267,10282,9 december 2011,74
5370,DATE+,10535,10547,3 april 1998,74
5371,DATE+,10629,10645,13 december 2000,74
5372,DATE+,10745,10760,9 december 2011,74
5373,DATE+,10912,10927,5 december 2006,74
5374,DATE+,10957,10972,5 december 2006,74
5375,DATE+,11017,11028,10 mei 2004,74
5376,DATE+,11078,11082,2004,74
5377,DATE+,11104,11120,15 februari 2005,74
5378,DATE+,11132,11136,2005,74
5379,DATE+,11193,11209,13 december 2000,74
5380,DATE+,11318,11322,2005,74
5381,DATE+,11487,11491,2005,74
5382,DATE+,11687,11702,9 december 2011,74
5383,DATE+,11821,11836,9 december 2011,74
5384,DATE+,11899,11912,10 maart 2006,74
5385,DATE+,12007,12022,9 december 2011,74
5386,DATE+,12116,12120,2001,74
5387,DATE+,12717,12721,2001,74
5388,DATE+,12884,12894,tien jaren,74
5389,DATE+,13293,13308,9 december 2011,74
5390,DATE+,13449,13465,5 september 1986,74
5391,DATE+,13486,13502,25 november 1998,74
5392,DATE+,13523,13539,19 december 2003,74
5393,DATE+,13698,13711,10 maart 2006,74
5394,DATE+,13789,13802,10 maart 2006,74
5395,DATE+,13860,13873,10 maart 2006,74
5396,DATE+,13961,13976,9 december 2011,74
5397,DATE+,14184,14188,2005,74
5398,DATE+,14283,14298,9 december 2011,74
5399,DATE+,14697,14709,3 april 1998,74
5400,DATE+,14791,14807,13 december 2000,74
5401,DATE+,14907,14922,9 december 2011,74
5402,DATE+,15074,15089,5 december 2006,74
5403,DATE+,15119,15134,5 december 2006,74
5404,DATE+,15179,15190,10 mei 2004,74
5405,DATE+,15240,15244,2004,74
5406,DATE+,15266,15282,15 februari 2005,74
5407,DATE+,15294,15298,2005,74
5408,DATE+,15355,15371,13 december 2000,74
5409,DATE+,15480,15484,2005,74
5410,DATE+,15648,15652,2005,74
5411,DATE+,15848,15863,9 december 2011,74
5412,DATE+,15982,15997,9 december 2011,74
5413,DATE+,16060,16073,10 maart 2006,74
5414,DATE+,16289,16303,1 januari 2018,74
5415,DATE+,16414,16428,1 januari 2018,74
5416,DATE+,16552,16566,1 januari 2018,74
5417,DATE+,16758,16762,2017,74
5418,DATE+,16837,16851,1 januari 2018,74
5419,DATE+,16946,16950,2017,74
5420,DATE+,17030,17044,1 januari 2018,74
5421,DATE+,17099,17113,1 januari 2018,74
5422,DATE+,17191,17205,1 januari 2018,74
5423,DATE+,17418,17432,1 januari 2018,74
5424,DATE+,17589,17600,2 juli 2015,74
5425,DATE+,17722,17736,1 januari 2018,74
5426,DATE+,17792,17800,augustus,74
5427,DATE+,17992,18003,31 mei 2017,74
5428,DATE+,18087,18101,1 januari 2018,74
5429,DATE+,18272,18286,1 januari 2018,74
5430,DATE+,18319,18333,1 januari 2018,74
5431,DATE+,18387,18401,1 januari 2018,74
5432,DATE+,18584,18598,1 januari 2018,74
5433,DATE+,18775,18779,2017,74
5434,DATE+,18853,18857,2017,74
5435,DATE+,19117,19128,2 juli 2015,74
5436,DATE+,19217,19221,2017,74
5437,DATE+,19252,19256,2018,74
5438,DATE+,19307,19311,2017,74
5439,DATE+,19340,19344,2017,74
5440,DATE+,19390,19404,1 januari 2018,74
5441,DATE+,19568,19572,2018,74
5442,DATE+,19665,19669,2018,74
5443,DATE+,19699,19703,2018,74
5444,DATE+,19840,19854,1 januari 2018,74
5445,DATE+,19921,19936,15 januari 2018,74
5446,DATE+,20051,20065,1 januari 2018,74
5447,DATE+,20136,20147,2 juli 2015,74
5448,DATE+,20222,20236,1 januari 2018,74
5449,DATE+,20402,20413,2 juli 2015,74
5450,DATE+,20446,20454,augustus,74
5451,DATE+,20646,20657,31 mei 2017,74
5452,DATE+,20734,20745,2 juli 2015,74
5453,DATE+,20749,20763,1 januari 2018,74
5454,DATE+,21140,21144,2017,74
5455,DATE+,21213,21224,2 juli 2015,74
5456,DATE+,21362,21377,9 december 2009,74
7758,title,24,65,Beslissing_Wob-verzoek_bedrijfsmiddel.pdf,74
7759,ID,9,11,74,74
7761,event,280,315,ontving ik uw verzoek om informatie,74
7762,event,466,522,verzoekt u op grond van de Wob om de volgende informatie,74
7799,event,182,219,Datum Betreft: Beslissing Wob-verzoek,74
5457,DATE+,114,118,2022,117
5458,c: verzoek datum,137,153,30 november 2021,117
5459,c: verzoek ontvangen,188,203,3 december 2021,117
5460,DATE+,541,545,2019,117
5461,DATE+,820,837,20 september 2019,117
5462,c: ontvangst verzoek bevestigd,917,932,24 januari 2022,117
5463,c: contact,991,1006,26 januari 2022,117
5464,c: contact,1078,1093,26 januari 2022,117
5465,DATE+,1285,1289,2019,117
7763,ID,9,12,117,117
7764,title,25,66,besluit-wob-vrouwen-in-adviescolleges.pdf,117
7765,event,175,184,ontvangen,117
7766,event,205,254,heeft u bij mijn ministerie een verzoek ingediend,117
7767,event,933,983,heb ik de ontvangst van uw verzoek aan u bevestigd,117
7768,event,1007,1059,is er contact met u opgenomen omtrent uw Wob-verzoek,117
7769,event,1094,1133,is het contact en de afspraak bevestigd,117
5466,DATE+,142,149,1 april,2
5467,DATE+,150,154,2022,2
5468,c: verzoek datum,244,260,14 december 2021,2
5469,DATE+,613,617,2010,2
5470,DATE+,622,626,2020,2
5471,c: ontvangst verzoek bevestigd,709,725,27 december 2021,2
5472,DATE+,814,818,2022,2
5473,DATE+,1049,1053,2022,2
5474,DATE+,1238,1242,2022,2
5475,DATE+,1338,1350,1 april 2022,2
5476,DATE+,1412,1416,2022,2
5477,DATE+,1630,1634,2022,2
5478,DATE+,1938,1942,2022,2
5479,DATE+,2162,2166,2022,2
5480,DATE+,2299,2311,1 april 2022,2
5481,DATE+,2490,2494,2010,2
5482,DATE+,2511,2515,2011,2
5483,DATE+,2525,2533,462 1122,2
5484,DATE+,2534,2538,2012,2
5485,DATE+,2557,2561,2013,2
5486,DATE+,2572,2580,694 1725,2
5487,DATE+,2581,2585,2014,2
5488,DATE+,2594,2600,83 242,2
5489,DATE+,2601,2605,2015,2
5490,DATE+,2623,2627,2016,2
5491,DATE+,2641,2649,906 2017,2
5492,DATE+,2663,2671,414 2018,2
5493,DATE+,2681,2689,404 1030,2
5494,DATE+,2690,2694,2019,2
5495,DATE+,2707,2715,382 2020,2
5496,DATE+,2725,2732,393 814,2
7770,ID,9,10,2,2
7771,title,24,84,2021297-wobbesluit-mesttransporten-plangebied-akkerlanen.pdf,2
7772,c: besluit datum,142,154,1 april 2022,2
7773,event,136,141,Datum,2
7774,event,261,365,"heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht, namens , om informatie",2
7775,date,613,626,2010 t/m 2020,2
7776,event,644,694,ontvangst van uw verzoek is schriftelijk bevestigd,2
5497,c: besluit datum,129,146,22 september 2022,81
5498,c: verzoek datum,169,185,12 augustus 2022,81
5499,c: ontvangst verzoek bevestigd,695,711,17 augustus 2022,81
5500,DATE+,842,859,22 september 2022,81
5501,DATE+,1184,1201,22 september 2022,81
5502,DATE+,1376,1386,28-04-2017,81
5503,DATE+,1451,1460,26-6-2017,81
5504,DATE+,1503,1513,27-05-2019,81
5505,DATE+,1576,1586,10-10-2019,81
5506,DATE+,1651,1661,28-10-2019,81
7778,title,24,102,Besluit+op+Woo-verzoek+over+vaststelling+fosfaatrechten+en+referentiedatum.pdf,81
7779,ID,9,11,81,81
7780,event,123,128,Datum,81
7782,event,186,274,"heeft u, namens uw cliënt, met een beroep op de Wet open overheid (hierna: Woo) verzocht",81
7783,event,630,680,ontvangst van uw verzoek is schriftelijk bevestigd,81
5511,DATE+,75,87,januari 2022,101
5512,c: besluit datum,98,111,11 april 2022,101
5513,c: verzoek datum,121,136,16 januari 2022,101
5514,c: overig,343,353,april 2021,101
5515,c: overig,361,368,2 maart,101
5516,c: ontvangst verzoek bevestigd,615,627,3 maart 2022,101
7787,ID,9,12,101,101
7788,title,25,56,besluit-wob-kiezen-en-delen.pdf,101
7790,event,92,97,Datum,101
7791,event,137,181,heeft u een Wob-verzoek per e-mail ingediend,101
7792,event,297,339,rapport is door ABD Topconsult uitgebracht,101
7794,event,369,447,is dit verzoek vanuit het Ministerie van LNV doorgestuurd naar mijn ministerie,101
7795,event,544,600,ontvangst van uw verzoek heb ik u schriftelijk bevestigd,101
7796,date,72,87,16 januari 2022,101
5517,c: besluit datum,156,167,31 MEI 2022,65
5518,c: verzoek datum,189,204,9 december 2021,65
5519,DATE+,305,321,25 februari 2020,65
5520,DATE+,333,348,9 december 2021,65
5521,c: inwerking treden van Woo,844,854,1 mei 2022,65
5522,c: inwerking treden van Woo,975,980,1 mei,65
5523,c: verzoek datum,1023,1038,9 december 2021,65
5524,c: ontvangst verzoek bevestigd,1082,1098,10 december 2021,65
5525,c: overig,1171,1184,12 april 2022,65
7801,ID,9,11,65,65
7802,title,24,100,2e_deelbesluit_op_op_Wob-Woo-verzoek_over_plannen_hyperscale_datacenters.pdf,65
7803,event,205,238,heeft u een Wob-verzoek ingediend,65
7804,date,305,348,25 februari 2020 tot en met 9 december 2021,65
7806,event,855,914,is de Wob vervangen door de Wet open overheid (hierna: Woo),65
7807,event,984,993,Woo geldt,65
7808,event,1012,1019,U heeft,65
7809,event,1039,1063,uw Wob-verzoek ingediend,65
7810,event,1099,1137,is uw verzoek voor ontvangst bevestigd,65
7811,event,1146,1167,eerste deelbesluit is,65
7812,event,1185,1192,genomen,65
5526,c: besluit datum,267,279,5 april 2022,50
5527,c: verzoek datum,314,326,26 juli 2021,50
5528,c: ontvangst verzoek bevestigd,432,444,27 juli 2021,50
5529,c: contact,496,512,24 februari 2022,50
5530,DATE+,795,811,16 februari 2011,50
7813,ID,9,11,50,50
7815,title,24,43,21-0599-besluit.pdf,50
7816,event,260,265,Datum,50
7817,event,326,371, heeft u per e-mail een Wob-verzoek ingediend,50
7818,event,379,416,ontvangst van uw verzoek is bevestigd,50
7819,event,513,627,heb ik u geïnformeerd dat ik de aangetroffen documenten aan de derde-belanghebbende opgestuurd heb voor zienswijze,50
5531,c: besluit datum,55,67,26 juli 2022,57
5532,DATE+,104,111,22-0097,57
5533,c: verzoek datum,133,148,1 februari 2022,57
